"#""Step""",Potential Energy (kJ/mole),Kinetic Energy (kJ/mole),Total Energy (kJ/mole),Temperature (K),Density (g/mL)
13600,-314114.7191,64922.82873,-249191.8904,300.7631251,0.95800248
13700,-313980.2866,64794.49717,-249185.7894,300.1686131,0.95800248
13800,-313662.873,64401.32663,-249261.5463,298.3472014,0.95800248
13900,-314039.1408,64520.89638,-249518.2444,298.9011232,0.95800248
14000,-314275.6702,64692.27252,-249583.3977,299.6950446,0.95800248
14100,-314236.7932,65000.8964,-249235.8968,301.1247834,0.95800248
14200,-314095.5699,64859.48101,-249236.0889,300.4696589,0.95800248
14300,-313247.508,64114.4451,-249133.0629,297.0181868,0.95800248
14400,-314486.5252,65412.16949,-249074.3557,303.0300574,0.95800248
14500,-313908.3233,65225.14871,-248683.1746,302.1636602,0.95800248
14600,-313974.18,65289.31172,-248684.8683,302.4609034,0.95800248
14700,-314490.1608,65901.95593,-248588.2049,305.2990543,0.95800248
14800,-313821.2754,65373.98876,-248447.2866,302.8531804,0.95800248
14900,-313353.0187,65142.9917,-248210.027,301.7830576,0.95800248
15000,-312538.6332,64622.10726,-247916.5259,299.3699953,0.95800248
15100,-312961.5061,64954.33374,-248007.1724,300.909076,0.95800248
15200,-312565.1287,64751.23394,-247813.8947,299.9681908,0.95800248
15300,-312708.6189,64932.25698,-247776.3619,300.8068027,0.95800248
15400,-313268.9511,64954.27803,-248314.6731,300.9088179,0.95800248
15500,-313774.9418,65980.12623,-247794.8156,305.661188,0.95800248
15600,-313308.6007,65356.96688,-247951.6338,302.7743244,0.95800248
15700,-313595.776,65233.93962,-248361.8364,302.2043852,0.95800248
15800,-313465.0595,65124.87689,-248340.1826,301.6991385,0.95800248
15900,-313835.9509,65615.70982,-248220.2411,303.9729834,0.95800248
16000,-313392.1607,65070.74218,-248321.4185,301.4483527,0.95800248
16100,-313430.9545,65261.41639,-248169.5381,302.3316748,0.95800248
16200,-313001.1607,64838.84833,-248162.3123,300.3740754,0.95800248
16300,-313820.5504,65717.58257,-248102.9679,304.4449217,0.95800248
16400,-313911.712,65640.18315,-248271.5288,304.0863592,0.95800248
16500,-313420.7963,64972.80187,-248447.9944,300.9946319,0.95800248
16600,-313969.2675,65253.45306,-248715.8144,302.2947837,0.95800248
16700,-313840.3361,64886.68583,-248953.6503,300.5956886,0.95800248
16800,-314035.8701,65433.61417,-248602.2559,303.1294026,0.95800248
16900,-314103.5005,65113.83444,-248989.6661,301.6479829,0.95800248
17000,-313573.9192,64489.05313,-249084.8661,298.7536054,0.95800248
17100,-314014.0422,64892.49471,-249121.5475,300.622599,0.95800248
17200,-314496.474,65309.92914,-249186.5449,302.5564162,0.95800248
17300,-314193.3352,65184.21587,-249009.1194,301.9740337,0.95800248
17400,-314161.4245,65088.19049,-249073.234,301.5291841,0.95800248
17500,-314406.0408,65085.46189,-249320.5789,301.5165436,0.95800248
17600,-314200.945,64559.00029,-249641.9447,299.0776444,0.95800248
17700,-314794.8958,65369.15995,-249425.7358,302.8308103,0.95800248
17800,-314825.5715,64760.53319,-250065.0383,300.0112707,0.95800248
17900,-314698.853,64802.76343,-249896.0895,300.2069076,0.95800248
18000,-314303.2829,64411.34029,-249891.9426,298.3935909,0.95800248
18100,-314192.768,64803.85155,-249388.9164,300.2119485,0.95800248
18200,-313867.3982,64880.90854,-248986.4897,300.5689246,0.95800248
18300,-314191.2786,65114.42455,-249076.8541,301.6507167,0.95800248
18400,-314253.4542,65810.264,-248443.1902,304.87428,0.95800248
18500,-314381.6778,65472.54297,-248909.1349,303.3097451,0.95800248
18600,-314509.5689,65319.17933,-249190.3896,302.5992688,0.95800248
18700,-313996.7461,64799.08209,-249197.664,300.1898533,0.95800248
18800,-313898.0241,64838.99289,-249059.0312,300.3747451,0.95800248
18900,-314205.0297,65319.47374,-248885.556,302.6006327,0.95800248
19000,-313976.9645,65569.69243,-248407.2721,303.7598021,0.95800248
19100,-313891.7494,65457.3223,-248434.4271,303.2392334,0.95800248
19200,-313701.5874,65059.72501,-248641.8624,301.3973143,0.95800248
19300,-313825.0435,65081.18167,-248743.8618,301.4967149,0.95800248
19400,-314394.0668,65107.04064,-249287.0261,301.6165098,0.95800248
19500,-313871.7975,64934.06392,-248937.7335,300.8151735,0.95800248
19600,-314102.663,65261.92542,-248840.7376,302.3340329,0.95800248
19700,-313893.3409,65012.05681,-248881.2841,301.1764854,0.95800248
19800,-313943.9752,64827.26557,-249116.7096,300.3204168,0.95800248
19900,-313841.4177,64935.83748,-248905.5802,300.8233898,0.95800248
20000,-313487.7645,64784.89042,-248702.8741,300.1241086,0.95800248
20100,-313927.2909,65187.47015,-248739.8207,301.9891096,0.95800248
20200,-313434.825,64962.03495,-248472.79,300.9447528,0.95800248
20300,-313688.2753,64800.9725,-248887.3028,300.1986109,0.95800248
20400,-314095.459,64893.28951,-249202.1695,300.626281,0.95800248
20500,-313793.0743,64420.01594,-249373.0583,298.4337819,0.95800248
20600,-313476.6305,64505.65662,-248970.9739,298.8305231,0.95800248
20700,-314086.6169,65194.82435,-248891.7925,302.0231788,0.95800248
20800,-313999.6962,64887.72799,-249111.9682,300.6005165,0.95800248
20900,-314057.4016,64932.10925,-249125.2924,300.8061183,0.95800248
21000,-313817.6321,64821.82776,-248995.8043,300.2952255,0.95800248
21100,-313772.4048,64705.67914,-249066.7257,299.7571525,0.95800248
21200,-314301.1897,65216.01831,-249085.1714,302.1213625,0.95800248
21300,-313916.8527,64566.81283,-249350.0399,299.1138369,0.95800248
21400,-314491.5519,64999.8285,-249491.7234,301.1198362,0.95800248
21500,-314111.5524,64858.88698,-249252.6654,300.466907,0.95800248
21600,-313577.7223,64189.28828,-249388.434,297.3649072,0.95800248
21700,-314407.4447,65089.64058,-249317.8041,301.5359019,0.95800248
21800,-313805.0042,64493.79215,-249311.212,298.7755595,0.95800248
21900,-314260.2735,64886.07466,-249374.1988,300.5928573,0.95800248
22000,-314584.6848,65378.69749,-249205.9873,302.8749941,0.95800248
22100,-313797.0849,65009.04108,-248788.0438,301.1625146,0.95800248
22200,-313787.7564,64957.1504,-248830.606,300.9221245,0.95800248
22300,-314025.7723,65357.34493,-248668.4274,302.7760757,0.95800248
22400,-314476.7135,65578.62917,-248898.0844,303.8012027,0.95800248
22500,-314112.7224,65050.84782,-249061.8745,301.3561895,0.95800248
22600,-314021.8575,64797.25264,-249224.6049,300.1813782,0.95800248
