"#""Step""",Potential Energy (kJ/mole),Kinetic Energy (kJ/mole),Total Energy (kJ/mole),Temperature (K),Density (g/mL)
23500,-318812.0816,64779.3434,-254032.7382,299.8212482,0.952555225
23600,-317985.889,64205.30547,-253780.5835,297.1644018,0.952555225
23700,-318693.9065,64655.05566,-254038.8508,299.2460015,0.952555225
23800,-317898.3743,64254.05797,-253644.3163,297.3900452,0.952555225
23900,-317922.8495,64507.92964,-253414.9198,298.5650513,0.952555225
24000,-317970.6987,64426.66746,-253544.0313,298.1889417,0.952555225
24100,-318283.1129,64841.10596,-253442.0069,300.1071068,0.952555225
24200,-318356.3724,64670.39623,-253685.9761,299.3170029,0.952555225
24300,-318263.1509,64501.08712,-253762.0637,298.5333817,0.952555225
24400,-318231.4632,64372.79673,-253858.6664,297.9396094,0.952555225
24500,-318170.7135,64650.65867,-253520.0548,299.2256507,0.952555225
24600,-318085.7819,64612.93519,-253472.8467,299.0510533,0.952555225
24700,-317648.1993,64043.30274,-253604.8966,296.414597,0.952555225
24800,-317851.3162,64607.97984,-253243.3364,299.0281183,0.952555225
24900,-317829.2029,64607.17681,-253222.0261,299.0244016,0.952555225
25000,-317861.3773,64916.15632,-252945.2209,300.4544658,0.952555225
25100,-318220.2617,65319.072,-252901.1897,302.3192992,0.952555225
25200,-317290.342,64520.54737,-252769.7947,298.6234505,0.952555225
25300,-317173.3487,64637.04643,-252536.3022,299.1626485,0.952555225
25400,-317547.8928,64875.58816,-252672.3046,300.2667023,0.952555225
25500,-317552.3319,64908.56607,-252643.7659,300.4193355,0.952555225
25600,-317984.493,65315.04558,-252669.4474,302.3006635,0.952555225
25700,-317537.3412,65085.14309,-252452.1981,301.2365951,0.952555225
25800,-317448.9103,64758.44307,-252690.4672,299.7245142,0.952555225
25900,-317753.6861,64989.42005,-252764.2661,300.7935557,0.952555225
26000,-317760.6759,65056.97919,-252703.6967,301.1062428,0.952555225
26100,-317467.7164,64568.86914,-252898.8473,298.8471004,0.952555225
26200,-317365.8737,64676.25514,-252689.6185,299.34412,0.952555225
26300,-317863.1228,65208.5598,-252654.563,301.8078104,0.952555225
26400,-318125.2042,65170.11951,-252955.0847,301.6298955,0.952555225
26500,-317574.0392,64631.69414,-252942.3451,299.1378763,0.952555225
26600,-317393.8101,64557.97717,-252835.8329,298.7966886,0.952555225
26700,-317679.0903,65188.04218,-252491.0481,301.7128478,0.952555225
26800,-317432.8985,64422.53627,-253010.3622,298.1698212,0.952555225
26900,-318143.0051,65068.88308,-253074.122,301.1613382,0.952555225
27000,-318041.8757,65193.26485,-252848.6109,301.7370201,0.952555225
27100,-318041.764,64904.84345,-253136.9205,300.4021059,0.952555225
27200,-318077.2276,64729.08935,-253348.1383,299.5886551,0.952555225
27300,-318304.4643,64735.37325,-253569.0911,299.6177391,0.952555225
27400,-318052.8035,64502.1828,-253550.6207,298.5384529,0.952555225
27500,-318514.8062,65116.22678,-253398.5794,301.3804612,0.952555225
27600,-317967.0595,64725.92058,-253241.1389,299.5739889,0.952555225
27700,-318182.8977,65547.8239,-252635.0738,303.3780422,0.952555225
27800,-317898.4884,64924.87406,-252973.6143,300.4948145,0.952555225
27900,-318232.0633,65054.79415,-253177.2691,301.0961297,0.952555225
28000,-318006.9007,64505.18347,-253501.7173,298.5523411,0.952555225
28100,-318329.3024,64585.29282,-253744.0096,298.9231149,0.952555225
28200,-318421.7205,64720.08519,-253701.6353,299.5469807,0.952555225
28300,-317960.2971,64553.45213,-253406.845,298.7757451,0.952555225
28400,-317846.2031,64522.43035,-253323.7728,298.6321656,0.952555225
28500,-317732.3412,64526.92433,-253205.4169,298.6529653,0.952555225
28600,-317552.4422,64559.7685,-252992.6737,298.8049795,0.952555225
28700,-317685.3939,65000.62061,-252684.7733,300.8453958,0.952555225
28800,-317367.574,64663.00431,-252704.5697,299.2827906,0.952555225
28900,-317377.0414,64901.20797,-252475.8334,300.3852797,0.952555225
29000,-317524.242,65127.15161,-252397.0904,301.4310251,0.952555225
29100,-318010.1313,65569.30642,-252440.8249,303.4774708,0.952555225
29200,-317962.4951,65360.30061,-252602.1945,302.5101195,0.952555225
29300,-317819.2033,64925.99936,-252893.2039,300.5000228,0.952555225
29400,-317840.102,64865.16556,-252974.9364,300.2184629,0.952555225
29500,-317647.7252,64854.66355,-252793.0616,300.169856,0.952555225
29600,-318337.702,65208.98934,-253128.7127,301.8097985,0.952555225
29700,-317949.462,65010.97938,-252938.4826,300.8933398,0.952555225
29800,-317495.8923,64724.27995,-252771.6123,299.5663955,0.952555225
29900,-317966.554,65194.87274,-252771.6813,301.744462,0.952555225
30000,-317565.4551,64904.62556,-252660.8295,300.4010975,0.952555225
