#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
12100,-399929.952550943,3904.4884847676294,-396025.4640661754,18.088031307227876,0.9580024802665849
12200,-399979.5820365818,3954.956761736241,-396024.6252748456,18.32183191322055,0.9580024802665849
12300,-399953.1970954789,3927.137988472772,-396026.0591070061,18.192957966305006,0.9580024802665849
12400,-400016.213320042,3987.4082837635215,-396028.8050362785,18.472167648282035,0.9580024802665849
12500,-400001.09740909096,3972.422520973945,-396028.674888117,18.40274422763218,0.9580024802665849
12600,-399999.6981570972,3971.0810056585833,-396028.6171514386,18.396529490127364,0.9580024802665849
12700,-400031.0716126468,4000.564361238765,-396030.50725140807,18.53311482284303,0.9580024802665849
12800,-400084.79712673277,4050.8573497042053,-396033.9397770286,18.766103382918413,0.9580024802665849
12900,-400006.2739592297,3978.30703335032,-396027.96692587936,18.430004967292927,0.9580024802665849
13000,-400019.46352048125,3994.7458419876057,-396024.71767849365,18.506159804589736,0.9580024802665849
13100,-400022.290367024,3995.276698416774,-396027.0136686072,18.508619063401202,0.9580024802665849
13200,-400038.1076918701,4013.2311458005897,-396024.87654606946,18.59179528677833,0.9580024802665849
13300,-399998.34465756174,3972.052220554604,-396026.2924370071,18.401028764619735,0.9580024802665849
13400,-400031.1099915132,4009.0865977869034,-396022.02339372627,18.57259514967501,0.9580024802665849
13500,-400071.72516042646,4045.7017786935685,-396026.02338173287,18.742219555315685,0.9580024802665849
13600,-400064.82253853884,4035.9153354979026,-396028.90720304096,18.696882633052958,0.9580024802665849
13700,-400073.55416282173,4044.2109617051756,-396029.34320111654,18.735313159134826,0.9580024802665849
13800,-400097.73935742956,4072.2065274377164,-396025.53282999183,18.865006119277826,0.9580024802665849
13900,-400122.72302454617,4095.015743480002,-396027.70728106616,18.970672665734735,0.9580024802665849
14000,-400101.5090601472,4075.349554479455,-396026.15950566775,18.87956658520114,0.9580024802665849
14100,-400069.4254805902,4043.9650798974035,-396025.46040069277,18.734174080903657,0.9580024802665849
14200,-400064.2091660192,4033.7043583444056,-396030.5048076748,18.686640004824437,0.9580024802665849
14300,-400090.6133471625,4060.6732981241585,-396029.9400490383,18.811576991823376,0.9580024802665849
14400,-400092.9276643796,4069.008309922411,-396023.9193544572,18.85018997658209,0.9580024802665849
14500,-400085.39771309774,4058.4178744356395,-396026.9798386621,18.801128459461673,0.9580024802665849
14600,-400087.54852253385,4061.1047791124147,-396026.44374342146,18.81357588147422,0.9580024802665849
14700,-400104.12168777175,4082.6669890113044,-396021.45469876047,18.913465515987344,0.9580024802665849
14800,-400114.65515066497,4087.831245183006,-396026.82390548196,18.93738957868511,0.9580024802665849
14900,-400109.18065316137,4084.025630123142,-396025.1550230382,18.91975959088655,0.9580024802665849
15000,-400098.0872409353,4069.1110204569095,-396028.9762204784,18.850665795980927,0.9580024802665849
15100,-400112.5105584087,4080.13485370775,-396032.37570470094,18.901735082455907,0.9580024802665849
15200,-400152.9478887068,4120.1914684180665,-396032.75642028876,19.087302360671323,0.9580024802665849
15300,-400154.4400897501,4126.073395354051,-396028.36669439607,19.11455112295606,0.9580024802665849
15400,-400147.4825287517,4122.221956082129,-396025.26057266956,19.096708848763114,0.9580024802665849
15500,-400155.81001557596,4129.8155885624365,-396025.9944270135,19.131887301094384,0.9580024802665849
15600,-400154.2812102074,4125.492266480467,-396028.7889437269,19.1118589707574,0.9580024802665849
15700,-400151.3576666061,4119.475144174057,-396031.882522432,19.083983899007958,0.9580024802665849
15800,-400183.0374708129,4150.196967622498,-396032.8405031904,19.226306589039808,0.9580024802665849
15900,-400142.71950067487,4112.245100714961,-396030.4743999599,19.050489818297784,0.9580024802665849
16000,-400199.83594282204,4165.8851577706755,-396033.9507850514,19.29898409229306,0.9580024802665849
16100,-400183.63314775284,4151.577773885889,-396032.0553738669,19.232703346776162,0.9580024802665849
16200,-400189.31716063526,4164.079655054884,-396025.23750558036,19.29061987511687,0.9580024802665849
16300,-400223.91903033014,4199.2169905720075,-396024.70203975815,19.45339797713095,0.9580024802665849
16400,-400201.05375314783,4174.63660591907,-396026.4171472288,19.339526270534666,0.9580024802665849
16500,-400196.3937169714,4167.798867584424,-396028.59484938695,19.307849592385857,0.9580024802665849
16600,-400207.4081953326,4179.522061034295,-396027.88613429834,19.362158752463856,0.9580024802665849
16700,-400212.35808312055,4183.1954025548075,-396029.1626805657,19.37917596654565,0.9580024802665849
16800,-400221.95814550016,4197.305178251881,-396024.6529672483,19.444541267414714,0.9580024802665849
16900,-400191.079954016,4163.323194336379,-396027.75675967964,19.287115476214844,0.9580024802665849
17000,-400239.0694404151,4210.415887490351,-396028.65355292475,19.50527826794387,0.9580024802665849
17100,-400240.4601069698,4213.916293110153,-396026.54381385964,19.52149433483354,0.9580024802665849
17200,-400261.4343997119,4230.906704959056,-396030.52769475285,19.600204543006676,0.9580024802665849
17300,-400258.14700656664,4227.622736488251,-396030.5242700784,19.58499114828324,0.9580024802665849
17400,-400251.41700348444,4220.516843836995,-396030.90015964746,19.552072211720063,0.9580024802665849
17500,-400245.96285917144,4214.664802549931,-396031.2980566215,19.524961898442267,0.9580024802665849
17600,-400254.21488368185,4220.941620841993,-396033.2732628399,19.554040044329888,0.9580024802665849
17700,-400253.79927798454,4226.610428577522,-396027.188849407,19.580301505260024,0.9580024802665849
17800,-400250.89004476275,4225.006265592438,-396025.88377917034,19.57287001957136,0.9580024802665849
17900,-400255.3816658193,4226.216419051963,-396029.16524676734,19.578476206847327,0.9580024802665849
18000,-400288.6697910121,4256.128565691537,-396032.54122532054,19.717047967781895,0.9580024802665849
18100,-400266.18667979445,4233.334382653016,-396032.85229714145,19.611451063595357,0.9580024802665849
18200,-400278.51509029884,4251.7496239483735,-396026.7654663505,19.696761972407117,0.9580024802665849
18300,-400305.8141827388,4276.520870121393,-396029.2933126174,19.811517868869515,0.9580024802665849
18400,-400288.5387163097,4257.998266862413,-396030.5404494473,19.72570959233167,0.9580024802665849
18500,-400274.31521115545,4243.277405983965,-396031.0378051715,19.657513362920948,0.9580024802665849
18600,-400292.4979382893,4263.909188536258,-396028.5887497531,19.753092676366407,0.9580024802665849
18700,-400313.548506449,4283.984614236391,-396029.5638922126,19.846094597101118,0.9580024802665849
18800,-400265.11320886295,4237.133244336008,-396027.97996452695,19.629049765530795,0.9580024802665849
18900,-400296.46273100283,4266.07975093081,-396030.382980072,19.76314807816875,0.9580024802665849
19000,-400332.7527947286,4303.03394853674,-396029.7188461919,19.93434302107542,0.9580024802665849
19100,-400320.97368881013,4291.616238346658,-396029.35745046346,19.88144905041044,0.9580024802665849
19200,-400292.2210772177,4265.978045529431,-396026.24303168827,19.76267691517482,0.9580024802665849
19300,-400312.2338566878,4286.634108560895,-396025.5997481269,19.858368710977214,0.9580024802665849
19400,-400341.1394064403,4314.411759607399,-396026.72764683294,19.987052154078807,0.9580024802665849
19500,-400318.1459410181,4289.678881325686,-396028.4670596924,19.872474001672217,0.9580024802665849
19600,-400327.39883645903,4300.962870566109,-396026.4359658929,19.92474849331112,0.9580024802665849
19700,-400323.1722303312,4293.910377648288,-396029.2618526829,19.892076937692707,0.9580024802665849
19800,-400309.9331106795,4278.380129781117,-396031.55298089836,19.82013112181278,0.9580024802665849
19900,-400317.8505571084,4287.959258956944,-396029.89129815146,19.864507635946264,0.9580024802665849
20000,-400355.46223696135,4326.336959235985,-396029.12527772534,20.04229713304809,0.9580024802665849
20100,-400306.06592154363,4277.35449973846,-396028.7114218052,19.815379762346975,0.9580024802665849
20200,-400325.39481455693,4295.788456759841,-396029.6063577971,19.900777374100638,0.9580024802665849
20300,-400378.73589727934,4346.974732735373,-396031.761164544,20.13790420030536,0.9580024802665849
20400,-400316.0462827021,4287.1389045867545,-396028.90737811534,19.86070724171053,0.9580024802665849
20500,-400375.67525278125,4344.590143965623,-396031.08510881563,20.12685729454795,0.9580024802665849
20600,-400415.2668257803,4383.139251884091,-396032.1275738962,20.305440858980326,0.9580024802665849
20700,-400290.85075138975,4257.274441049762,-396033.57631033997,19.72235637871321,0.9580024802665849
20800,-400278.6995526906,4250.742172149148,-396027.9573805415,19.692094825927878,0.9580024802665849
20900,-400363.77459258586,4335.128831194299,-396028.64576139156,20.083026579645647,0.9580024802665849
21000,-400378.52827121364,4349.212503926268,-396029.3157672874,20.14827095526372,0.9580024802665849
21100,-400334.233418596,4302.98543064892,-396031.2479879471,19.934118255891125,0.9580024802665849
21200,-400371.50470003765,4338.997354520365,-396032.5073455173,20.100947997856412,0.9580024802665849
21300,-400363.1332339039,4330.636684357203,-396032.4965495467,20.06221614751272,0.9580024802665849
21400,-400348.68503059354,4317.854104956008,-396030.8309256375,20.002999249499585,0.9580024802665849
21500,-400385.4688971825,4355.79856288508,-396029.6703342974,20.178781697222107,0.9580024802665849
21600,-400377.92318353336,4347.210518376007,-396030.71266515733,20.13899650677936,0.9580024802665849
21700,-400410.6474072123,4378.319040232447,-396032.32836697984,20.283110625557295,0.9580024802665849
21800,-400374.91156094335,4341.530432895412,-396033.38112804794,20.112682800284503,0.9580024802665849
21900,-400362.8626436661,4332.879280978166,-396029.9833626879,20.07260525687947,0.9580024802665849
22000,-400406.2390263332,4379.254099074098,-396026.9849272591,20.287442402605137,0.9580024802665849
22100,-400398.9938838249,4364.014265771482,-396034.9796180534,20.216841968522655,0.9580024802665849
22200,-400371.55133282114,4340.1998097195465,-396031.35152310156,20.106518521978376,0.9580024802665849
22300,-400407.5183754442,4381.235865288407,-396026.2825101558,20.296623182486517,0.9580024802665849
22400,-400361.5562597327,4328.124696864354,-396033.43156286835,20.050579051234607,0.9580024802665849
22500,-400408.7655247627,4380.561951747422,-396028.2035730153,20.293501193709943,0.9580024802665849
22600,-400404.2385983877,4376.750342254396,-396027.4882561333,20.27584343594993,0.9580024802665849
22700,-400376.57075652014,4348.22097616567,-396028.3497803545,20.143677578885317,0.9580024802665849
22800,-400374.33726835344,4342.359614875053,-396031.9776534784,20.116524089525246,0.9580024802665849
22900,-400432.957273107,4404.786192897533,-396028.1710802095,20.40572302098039,0.9580024802665849
23000,-400434.16839774605,4404.592466679009,-396029.57593106705,20.404825560040404,0.9580024802665849
23100,-400381.3408480487,4353.640006721151,-396027.70084132755,20.16878191578495,0.9580024802665849
23200,-400391.21517521795,4362.758304377559,-396028.4568708404,20.211023570260608,0.9580024802665849
23300,-400410.8662719978,4378.713170001392,-396032.1531019964,20.284936481012526,0.9580024802665849
23400,-400368.34921217803,4344.743300489333,-396023.6059116887,20.12756681130196,0.9580024802665849
23500,-400434.8625014555,4402.90850365629,-396031.9539977992,20.39702439069544,0.9580024802665849
23600,-400413.21205092315,4379.035296901126,-396034.176754022,20.286428774169494,0.9580024802665849
23700,-400384.23085598927,4355.759868394471,-396028.4709875948,20.178602440154172,0.9580024802665849
23800,-400428.69365347456,4398.660106395582,-396030.03354707896,20.377343158965083,0.9580024802665849
23900,-400411.3167398842,4383.097498649473,-396028.2192412347,20.305247431898163,0.9580024802665849
24000,-400433.38302797545,4403.895825466738,-396029.4872025087,20.401598282483658,0.9580024802665849
24100,-400442.19092219044,4412.473058348503,-396029.7178638419,20.441333386710507,0.9580024802665849
24200,-400375.9306191234,4341.149042048717,-396034.78157707467,20.110915959480078,0.9580024802665849
24300,-400414.29322735686,4382.942540515782,-396031.35068684106,20.304529568960557,0.9580024802665849
24400,-400422.50498241093,4389.063879679845,-396033.4411027311,20.332887438339274,0.9580024802665849
24500,-400424.32840893604,4394.348063450303,-396029.98034548573,20.357367080639683,0.9580024802665849
24600,-400407.91424973775,4371.034517928776,-396036.87973180896,20.24936416478502,0.9580024802665849
24700,-400434.4677025927,4400.360200393967,-396034.1075021988,20.3852190570726,0.9580024802665849
24800,-400439.9940576134,4413.349688407987,-396026.64436920546,20.445394485116267,0.9580024802665849
24900,-400410.76067340653,4378.67059259726,-396032.09008080926,20.284739235861995,0.9580024802665849
25000,-400414.6538809268,4379.547138713882,-396035.1067422129,20.288799945391947,0.9580024802665849
25100,-400454.2853794275,4423.15738638449,-396031.127993043,20.49082987280992,0.9580024802665849
25200,-400366.3704754906,4335.1110717391075,-396031.25940375146,20.082944306747994,0.9580024802665849
25300,-400432.959560561,4402.30728485934,-396030.65227570164,20.39423916941379,0.9580024802665849
25400,-400435.2438885858,4401.857649332287,-396033.38623925357,20.39215617659107,0.9580024802665849
